site,sample,site_class,species,species_code,replicate,TD,SRL
S17,S3,IU,Gonocarpus tetragynus,tetra,3,,0.0007
S17,S1,IU,Leptocarpus tenax,tenax,1,,0.0017
S17,S2,IU,Leptocarpus tenax,tenax,2,,0.0014
S17,S3,IU,Leptocarpus tenax,tenax,3,0.0057,0.0125
S17,S1,IU,Empodisma minus,emp,1,0.1382,0.0095
S17,S2,IU,Empodisma minus,emp,2,,0.0077
S17,S3,IU,Empodisma minus,emp,3,0.026,0.0089
S17,S1,IU,Entolasia stricta,ento,1,,0.0008
S17,S2,IU,Entolasia stricta,ento,2,,
S17,S3,IU,Entolasia stricta,ento,3,,
S17,S1,IU,Cyathachaeta diandra,cya,1,,0.0005
S17,S2,IU,Cyathachaeta diandra,cya,2,0.1123,0.0033
S17,S3,IU,Cyathachaeta diandra,cya,3,0.0945,0.006
S17,S1,IU,Lepidosperma neesii,nee,1,0.0629,0.0062
S17,S2,IU,Lepidosperma neesii,nee,2,,0.0123
S17,S3,IU,Lepidosperma neesii,nee,3,,0.0054
S17,S1,IU,Ptilothrix deusta,pti,1,,0.0037
S17,S2,IU,Ptilothrix deusta,pti,2,,0.0122
S17,S3,IU,Ptilothrix deusta,pti,3,,0.0092
